Longitude,Latitude,Decennial Population Count
-73.9130694,40.7749785,62
-73.9110277,40.7750132,103
-73.9121812,40.7741905,46
-73.913123,40.7736944,63
-73.9168171,40.7718824,264
-73.9175438,40.7700599,0
-73.9137212,40.7693934,0
-73.9153833,40.7710252,227
-73.9399806,40.7602857,42
-73.9416368,40.7592281,94
-73.9430218,40.7575762,49
-73.9405943,40.7565468,316
-73.9203206,40.7723869,0
-73.9391659,40.7599886,111
-73.9375832,40.7594746,0
-73.9384453,40.7583553,0
-73.9401574,40.7556021,9
-73.9169828,40.7704689,0
-73.9132463,40.7612918,914
-73.9140925,40.7575789,188
-73.9108653,40.761446,173
-73.9092389,40.7594174,525
-73.9065646,40.7580243,797
-73.8986292,40.7794904,27
-73.9028285,40.7678785,0
-73.8958908,40.7740736,0
-73.9090299,40.7709483,155
-73.9060205,40.7745295,368
-73.9069237,40.7676547,19
-73.9187335,40.7572642,462
-73.9179415,40.7663761,834
-73.8795908,40.7659555,430
-73.8828771,40.7548892,396
-73.8806752,40.7532011,388
-73.8765325,40.7670437,305
-73.8786182,40.7627451,188
-73.8766595,40.7623985,363
-73.875438,40.7608577,189
-73.8797452,40.7532997,526
-73.8767265,40.7575493,668
-73.9512635,40.7500246,0
-73.9295332,40.7522032,3
-73.9200434,40.7648952,733
-73.8812205,40.7562033,118
-73.8976114,40.7590276,185
-73.9054911,40.7684057,0
-73.8687464,40.7614805,0
-73.9201788,40.7725218,0
-73.8832366,40.7568664,580
-73.8832925,40.7638582,47
-73.8968978,40.7713697,127
-73.916688,40.775365,380
-73.8690314,40.7574823,105
-73.9308871,40.7680426,112
-73.8703941,40.7503728,26
-73.9262697,40.7532039,22
-73.8969602,40.7554524,481
-73.9270215,40.7668422,327
-73.8741677,40.7538831,256
-73.883891,40.7604691,407
-73.8618569,40.7550337,964
-73.8672291,40.7515062,578
-73.8621537,40.7612702,153
-73.8643142,40.7554143,520
-73.8747353,40.7517926,795
-73.9156581,40.7696553,0
-73.98833,40.7756992,591
-73.9553342,40.8167817,1611
-73.9880749,40.7635193,724
-73.986978,40.7738189,1170
-73.9053402,40.7539291,0
-73.8996649,40.7530955,0
-73.8993671,40.7570296,282
-73.9123509,40.7637477,289
-73.915361,40.7587202,457
-73.9124625,40.7581462,249
-73.9099505,40.7626192,265
-73.9083514,40.7618738,288
-73.9082673,40.7545219,270
-73.8821597,40.7817948,0
-73.9045785,40.773511,405
-73.899741,40.7742017,143
-73.8995708,40.7699763,240
-73.8980863,40.7722798,171
-73.8728813,40.7519729,1531
-73.8708461,40.7525739,384
-73.8689608,40.7509759,815
-73.8614488,40.7617418,153
-73.8653152,40.7585982,441
-73.8681094,40.7532134,614
-73.8634388,40.758736,517
-73.9279294,40.7567947,410
-73.8703982,40.7544559,409
-73.8644793,40.7643146,217
-73.9045572,40.7529727,0
-73.8795938,40.7628488,178
-73.8834647,40.7529053,500
-73.8785626,40.7637323,0
-73.8770616,40.7593864,328
-73.876957,40.7535889,1318
-73.8876106,40.7600778,412
-73.8864118,40.7640161,221
-73.8820317,40.7606645,307
-73.8912589,40.7697245,241
-73.8892206,40.7637195,78
-73.9039534,40.7667243,0
-73.9031502,40.7647953,0
-73.9214672,40.7719165,599
-73.9090388,40.7766647,394
-73.9854617,40.7500905,554
